(271,16,81),(677,202,386)
(0,0,0)
(271,16,81)
(979,155,924)
(0,0,0)
(0,0,0)
(677,202,386)
(0,0,0)
(0,0,0)
(464,207,285)
(0,0,0)
(0,0,0)
(889,583,386)
(0,0,0)
(387,663,612)
(907,312,134)
(155,614,2)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(0,0,0)
(387,663,612)
(0,0,0)
(169,4,11)
(0,0,0)
(394,36,688)
(0,0,0)
(109,830,225),(130,949,950)
(820,54,185)
(0,0,0)
(668,404,916)
(731,541,780)
(109,830,225)
(0,0,0)
(0,0,0)
(217,645,936)
(0,0,0)
(399,799,122)
(674,348,743)
(0,0,0)
(734,835,280)
(130,949,950),(389,975,686),(685,867,957)
(0,0,0)
(284,767,753)
(0,0,0)
(669,409,333)
(0,0,0)
(0,0,0)
(763,307,999)
(275,416,856)
(0,0,0)
(0,0,0)
(620,5,99)
(912,28,164)
(0,0,0)
(0,0,0)
(348,264,86)
(612,40,9)
(685,867,957)
(0,0,0)
(130,949,950),(307,868,66),(597,879,518),(685,867,957)
(0,0,0)
(685,867,957),(894,433,517),(942,386,26)
(0,0,0)
(0,0,0)
(0,0,0)
(140,102,630)
(532,153,902)
(942,386,26)
(894,433,517)
(375,729,192)
